deal_id,deals_recom_score,user_id
40000172,158.72109864392135,12111881.0
20000032,142.01517425278627,12111881.0
30000003,139.69123103609263,12111881.0
20000031,137.92039492900074,12111881.0
20000030,136.96332429190764,12111881.0
20000034,136.12804618418022,12111881.0
40000191,134.01261240387151,12111881.0
40000713,133.6305171129341,12111881.0
40000660,133.24015109608658,12111881.0
30000047,132.99993795277118,12111881.0
30000055,132.897296277812,12111881.0
40000048,132.86137550335656,12111881.0
40000335,131.99489148635243,12111881.0
40000673,131.6380350299804,12111881.0
40000144,131.001915835786,12111881.0
20000028,130.18418569320886,12111881.0
40000505,129.8154221481608,12111881.0
20000029,129.67810746786444,12111881.0
40000644,128.63230974231982,12111881.0
40000117,128.48305555461806,12111881.0
40000531,128.40739814414556,12111881.0
40000187,128.37136186367232,12111881.0
40000509,128.06267411457603,12111881.0
40000513,127.99110559142852,12111881.0
40000508,127.87232924034382,12111881.0
40000557,127.77188514339602,12111881.0
40000523,127.11508913555352,12111881.0
40000285,127.06521875934673,12111881.0
40000186,126.90768093734619,12111881.0
40000213,126.41744095984092,12111881.0
40000512,126.23824639736038,12111881.0
40000658,126.16224833729328,12111881.0
40000511,126.11361000798198,12111881.0
40000529,126.06292694847096,12111881.0
40000530,126.06217789718224,12111881.0
40000253,125.9527704855361,12111881.0
40000506,125.84636736919865,12111881.0
40000510,125.65760949367362,12111881.0
40000556,125.63396303185522,12111881.0
40000003,125.5214421089446,12111881.0
30000100,125.39712403994119,12111881.0
40000128,124.80430754101894,12111881.0
40000184,124.66800655238643,12111881.0
40000519,124.59839030980969,12111881.0
40000256,124.53016484750374,12111881.0
40000265,124.50598780448827,12111881.0
40000708,124.44885241759955,12111881.0
40000248,124.44058113899388,12111881.0
40000255,124.41534719938949,12111881.0
40000252,124.35408529254843,12111881.0
40000044,124.30575488502333,12111881.0
40000490,124.26767605413951,12111881.0
40000585,124.2313414525152,12111881.0
40000246,124.04993001696076,12111881.0
40000496,123.92834139409763,12111881.0
40000595,123.81514795203962,12111881.0
40000507,123.76690156655674,12111881.0
40000598,123.7633624448825,12111881.0
40000504,123.73324321702354,12111881.0
40000264,123.68985495450168,12111881.0
40000532,123.6860169394703,12111881.0
40000181,123.67770371504179,12111881.0
40000263,123.59672381742115,12111881.0
40000717,123.4417633781125,12111881.0
